Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,1,1,1,1,1,1,1,1
mean,666.37375862069,711.777413793104,698.499068965517,723.847344827586,650.3219,703.084965517241,601.626551724138,626.715862068965,634.388344827586,550.48024137931,553.301733333333,575.947733333333
median,651.667,714.105,684.843,726.948,653.929,712.254,592.4,578.419,596.81,544.291,575.1245,558.0275
