Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,0.933333333333333,1,1,0.966666666666667,1,0.928571428571429,0.933333333333333,0.966666666666667,0.933333333333333,0.966666666666667,0.933333333333333
mean,683.926833333333,705.188214285715,704.47675862069,710.8037,716.305071428572,710.987535714286,694.56824,625.508444444445,761.624571428571,648.445923076923,642.449821428571,600.638884615385
median,662.737,671.273,710.957,717.927,721.6255,698.507,710.983,618.437,762.144,637.4745,625.175,607.0775
