Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,1,0.966666666666667,1,1,1,1,1,1
mean,814.801444444444,839.791928571429,912.188137931034,802.620466666667,740.712678571429,702.029333333333,823.265862068965,1003.64816,770.440379310345,764.535592592593,635.668620689655,694.968862068965
median,829.993,794.472,836.515,749.9185,711.2755,672.46,784.441,1058.402,761.876,631.945,621.156,669.449
