Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,0.966666666666667,1,1,1,0.966666666666667,0.933333333333333,1,1,1
mean,709.875793103448,714.864266666667,735.594068965517,689.303034482759,712.466344827586,693.540866666666,529.006533333333,577.501357142857,578.160928571429,516.286185185185,455.2774,517.288517241379
median,720.131,718.3505,696.613,685.006,699.135,683.7115,507.058,541.4755,550.5335,502.337,457.4655,507.584
