Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,1,1,1,0.966666666666667,1,1,1,1
mean,612.4518,611.442275862069,651.0033,608.110517241379,584.620620689655,599.1669,589.826379310345,577.046428571429,580.4655,600.894666666667,510.624068965517,521.615448275862
median,620.032,610.601,641.9295,600.04,581.458,586.8195,559.48,539.6565,546.8465,602.4865,511.104,490.45
