Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,0.966666666666667,0.966666666666667,0.8,0.724137931034483,1,1,1,1,0.966666666666667,1,1
mean,772.071344827586,736.852678571429,785.783428571428,777.898304347826,749.042142857143,764.348310344827,719.704379310345,718.878275862069,764.922275862069,647.401178571429,582.951413793104,607.5585
median,760.286,724.9155,764.255,768.082,759.407,749.333,718.078,698.919,772.744,608.16,581.579,580.4025
