Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.964285714285714,0.966666666666667,0.964285714285714,0.9,0.931034482758621,1,0.933333333333333,1,0.966666666666667,0.933333333333333,1,1
mean,656.043777777778,637.537142857143,615.307730769231,679.25262962963,651.228962962963,647.367555555556,392.738807692308,437.881586206897,425.745814814815,403.703074074074,377.32324137931,419.998793103448
median,613.519,611.129,586.2165,686.768,646.447,644.077,378.1805,447.502,417.106,404.88,369.599,402.353
