Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,0.966666666666667,0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667
mean,621.3847,651.704678571429,677.5715,675.262266666667,679.4817,658.287379310345,552.999888888889,529.784857142857,581.313793103448,479.545357142857,537.155892857143,530.376785714286
median,612.8585,649.9925,684.991,655.996,675.332,645.017,540.017,540.871,576.558,459.513,518.4885,508.028
