Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.933333333333333,1,1,0.966666666666667,0.9,1,0.966666666666667,1,0.896551724137931,1,0.933333333333333,0.933333333333333
mean,574.338185185185,583.678689655172,613.74724137931,637.312607142857,624.52928,646.150066666667,474.522793103448,536.54925,477.112083333333,475.80437037037,445.282851851852,453.076666666667
median,565.947,584.802,613.017,624.393,619.839,625.641,480.313,512.676,481.1805,441.672,401.201,379.676
