Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,1,1,1,1,1,1
mean,668.462821428571,630.687137931035,707.168172413793,697.435689655172,689.279777777778,676.494607142857,685.4763,634.287793103448,749.722466666667,586.621206896552,622.613310344828,603.131
median,691.948,609.802,687.788,687.778,657.578,669.1825,675.489,593.684,738.8265,572.455,615.846,580.908
