Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,1,1,1,0.966666666666667,1
mean,616.294137931034,632.2715,649.084714285714,627.532074074074,597.535392857143,621.462233333333,447.272035714286,499.930827586207,506.690107142857,423.294033333333,415.227214285714,390.013103448276
median,618.194,622.6375,637.9635,637.608,591.94,616.234,458.5065,448.65,497.458,396.8565,407.93,394.258
