Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,0.933333333333333,0.933333333333333,0.866666666666667,0.966666666666667,0.966666666666667,1,1,1,1
mean,595.685466666666,595.714206896552,600.567655172414,604.668962962963,563.331285714286,561.01344,530.545172413793,480.880310344828,554.099107142857,403.833066666667,408.446793103448,393.86875862069
median,590.514,592.325,601.253,611.061,546.583,549.84,518.626,460.571,558.468,403.035,402.329,374.337
