Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.966666666666667,0.966666666666667,1,0.933333333333333,0.966666666666667,0.933333333333333,1,1,1,0.966666666666667,1,0.966666666666667
mean,674.639172413793,668.527357142857,695.590033333334,690.824037037037,647.610964285714,670.186925925926,607.894103448276,604.985551724138,612.446689655172,551.307655172414,522.939310344828,494.436535714286
median,655.305,665.2005,677.4885,684.233,654.286,670.636,625.424,574.202,580.473,544.401,517.707,480.657
