Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.933333333333333,1,1,0.966666666666667,0.9,1,0.966666666666667,1,0.896551724137931,1,0.933333333333333,0.933333333333333
mean,581.634357142857,590.754066666667,619.4845,637.312607142857,635.869807692308,646.150066666667,474.522793103448,554.588448275862,495.0294,551.087517241379,445.282851851852,475.366821428571
median,568.6365,586.5905,613.634,624.393,620.887,625.641,480.313,519.584,482.436,443.487,401.201,388.4995
