Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,1,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,0.966666666666667,1,0.96551724137931
mean,660.5944,672.292466666667,677.1229,681.404866666667,681.066533333333,689.080034482758,491.313,484.500035714286,478.352071428571,487.158285714286,498.937666666667,482.068964285714
median,665.369,656.1995,674.8915,677.193,670.0945,693.335,465.48,429.977,483.9615,466.4005,507.266,458.879
