Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,0.966666666666667,1,1,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1
mean,746.969965517241,737.486233333333,729.110275862069,748.845793103448,701.704785714286,725.975928571429,598.729896551724,624.602035714286,633.424,678.641740740741,569.561464285714,544.681266666667
median,697.856,720.612,716.644,703.984,699.868,729.4865,580.596,529.136,579.732,603.2,517.433,516.9255
