Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.966666666666667,0.966666666666667,0.966666666666667,1,0.966666666666667,1,0.933333333333333,0.866666666666667,0.966666666666667,1,1,1
mean,678.083321428571,685.910137931035,718.712551724138,650.565931034483,643.925448275862,672.3316,592.8515,628.88612,656.605034482759,532.948366666667,533.41724137931,525.743366666667
median,678.0425,662.428,693.917,643.924,637.344,658.064,582.976,614.415,646.657,526.51,528.995,518.4035
