Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,1,1,1,1,1,1
mean,678.566344827586,640.311866666667,707.168172413793,697.435689655172,719.272827586207,676.494607142857,685.4763,634.287793103448,749.722466666667,586.621206896552,631.910766666666,617.184866666667
median,701.283,610.492,687.788,687.778,659.68,669.1825,675.489,593.684,738.8265,572.455,622.1715,585.101
