Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,0.966666666666667,1,1,1,0.896551724137931,0.966666666666667,0.96551724137931,1,1
mean,683.377517241379,714.2644,675.249586206897,672.787678571429,625.050827586207,640.481034482759,720.668620689655,859.12268,822.447965517241,800.506962962963,615.140793103448,656.010517241379
median,678.171,666.728,679.758,676.671,639.039,638.536,680.465,839.232,744.113,707.592,607.909,626.917
