Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.866666666666667,0.8,0.933333333333333,1,0.9,1,0.966666666666667,0.966666666666667,1,0.966666666666667,1,1
mean,634.009615384615,596.251565217391,610.671740740741,627.808896551724,604.919888888889,608.422689655172,387.9465,433.564464285714,465.559535714286,401.640689655172,424.534034482759,367.781655172414
median,598.437,559.216,577.49,593.805,568.026,595.578,339.7595,372.641,462.1885,391.959,427.242,359.156
