Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,0.966666666666667,1,0.833333333333333,0.933333333333333,1,0.96551724137931,1,0.9,0.9,0.966666666666667
mean,629.551333333333,637.775633333333,672.150482758621,653.916689655172,651.29432,671.686107142857,549.974413793103,532.194222222222,605.740233333333,474.499615384615,531.483037037037,566.95675862069
median,604.225,618.063,659.942,650.953,655.25,667.5485,524.53,527.058,562.4425,429.6795,488.39,510.402
