Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,0.966666666666667,0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667
mean,621.3847,651.704678571429,686.439827586207,675.262266666667,679.4817,664.740166666667,582.048310344828,542.477586206896,581.313793103448,479.545357142857,537.155892857143,544.293517241379
median,612.8585,649.9925,696.718,655.996,675.332,647.796,543.662,541.104,576.558,459.513,518.4885,510.769
