Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,1,1,1,1,1,1,1,1
mean,666.37375862069,718.586333333333,698.499068965517,728.460833333333,650.3219,703.084965517241,601.626551724138,626.715862068965,634.388344827586,566.037466666667,553.301733333333,575.947733333333
median,651.667,714.5765,684.843,728.4355,653.929,712.254,592.4,578.419,596.81,549.945,575.1245,558.0275
