Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.964285714285714,0.966666666666667,0.964285714285714,0.9,0.931034482758621,1,0.933333333333333,1,0.966666666666667,0.933333333333333,1,1
mean,656.043777777778,637.537142857143,615.307730769231,679.25262962963,651.228962962963,654.516642857143,422.61175,437.881586206897,445.973172413793,403.703074074074,385.6157,433.619533333333
median,613.519,611.129,586.2165,686.768,646.447,646.0035,391.4315,447.502,418.413,404.88,370.1005,402.5445
