Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,0.933333333333333,1,0.933333333333333,0.933333333333333,0.833333333333333,1,0.933333333333333,1,0.933333333333333,0.933333333333333,0.96551724137931,0.966666666666667
mean,550.016481481481,544.502482758621,586.564357142857,562.782714285714,565.7275,571.692866666667,444.123,455.958233333333,452.230785714286,456.894142857143,433.264107142857,437.093551724138
median,545.408,539.314,588.126,545.711,564.7035,559.461,416.4515,449.5665,428.534,443.601,407.102,451.585
