Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,0.933333333333333,1,1,0.966666666666667,0.966666666666667,0.96551724137931,0.964285714285714,0.933333333333333,1,1,1
mean,652.782551724138,675.154444444444,709.095551724138,670.301666666667,681.964103448276,680.10424137931,656.631928571428,715.413444444445,662.275642857143,572.197434782609,608.995166666667,598.41152173913
median,645.592,674.109,720.841,658.589,676.437,665.668,641.2555,682.137,661.567,568.342,610.241,594.384
