Row,motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
code,111,112,113,121,122,123,211,212,213,221,222,223
acc,1,1,1,1,1,1,1,1,0.933333333333333,0.966666666666667,0.966666666666667,0.933333333333333
mean,701.658966666667,662.104517241379,695.736931034483,669.364758620689,667.707833333333,635.070068965517,631.605896551724,629.5121,587.402964285714,549.423357142857,519.372689655172,628.253535714286
median,700.969,643.595,677.443,640.246,653.3775,629.501,625.601,546.8845,576.183,540.4465,485.513,564.6775
